date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:36	697/697	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Sep%202024%2021:53:35%20GMT	https://valhal.la/robots.txt		(from )
23:53:36	3187/3187	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Sep%202024%2021:53:35%20GMT	https://valhal.la/	D:/valhala/valhal.la/index.html	(from )
23:53:37	313828/313828	---M--	200	added ('OK')	font/woff	etag:%2276939806c53ec5b05996ebb24356ae27%22	https://valhal.la/WOFF/jackeyfont.woff	D:/valhala/valhal.la/WOFF/jackeyfont.woff	(from https://valhal.la/)
23:53:38	4709/4709	---MCZ	200	added ('OK')	text/css	etag:W/%22833904c018ad62a1cbc0d2fc57bb4386%22	https://valhal.la/index.css	D:/valhala/valhal.la/index.css	(from https://valhal.la/)
23:53:38	1270424/1270424	---M--	200	added ('OK')	font/woff	etag:%2226e3afb2bf32462b5e01ec5b72614531%22	https://valhal.la/WOFF/FreeSerif-YO4a.woff	D:/valhala/valhal.la/WOFF/FreeSerif-YO4a.woff	(from https://valhal.la/)
23:53:38	408/408	---MCZ	200	added ('OK')	text/css	etag:W/%22b21ea9eb9a1c1c0c8c114dfe42a2d479%22	https://valhal.la/crt.css	D:/valhala/valhal.la/crt.css	(from https://valhal.la/)
23:53:38	1688/1688	---MCZ	200	added ('OK')	text/css	etag:W/%224db54de68a2264f555e9348af162a482%22	https://valhal.la/loading.css	D:/valhala/valhal.la/loading.css	(from https://valhal.la/)
23:53:38	1398/1398	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Sep%202024%2021:53:37%20GMT	https://valhal.la/favicon.html	D:/valhala/valhal.la/favicon.html	(from https://valhal.la/)
23:53:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2022%20Sep%202024%2021:53:38%20GMT	https://valhal.la/desktop.html	D:/valhala/valhal.la/desktop.html	(from https://valhal.la/)
23:53:39	12186/12186	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Sep%202024%2021:53:38%20GMT	https://valhal.la/desktop	D:/valhala/valhal.la/desktop.html	(from https://valhal.la/)
23:53:40	644/644	---M--	200	added ('OK')	image/apng	etag:%22c776d8a9307091a6d8d914c0adea5ca1%22	https://valhal.la/pixel.apng	D:/valhala/valhal.la/pixel.apng	(from https://valhal.la/crt.css)
23:53:41	2489517/2489517	---M--	200	added ('OK')	image/gif	etag:%225c43b01251a93b3eaa080f2e62e13c91%22	https://valhal.la/images/cock.gif	D:/valhala/valhal.la/images/cock.gif	(from https://valhal.la/)
23:53:41	7149/7149	---MCZ	200	added ('OK')	text/css	etag:W/%22bb16217af1d1271b7efeecd23fa83d57%22	https://valhal.la/desktop.css	D:/valhala/valhal.la/desktop.css	(from https://valhal.la/desktop)
23:53:42	72/72	---MC-	302	error ('Found')	text/html	date:Sun,%2022%20Sep%202024%2021:53:41%20GMT	https://unpkg.com/98.css	D:/valhala/unpkg.com/98.b.delayed	(from https://valhal.la/desktop)
